Q	 QTmin	 QTmax	 Npt	 X2/dof	 p0	 e0
4.50	 0.00	 10.00	 29	 2.12	 7.49E-01	 3.8E-02
5.50	 0.00	 10.00	 52	 1.61	 8.95E-01	 2.7E-02
6.50	 0.00	 10.00	 56	 1.52	 9.58E-01	 2.6E-02
7.50	 0.00	 10.00	 65	 1.82	 9.40E-01	 2.8E-02
8.50	 0.00	 10.00	 60	 1.67	 9.33E-01	 2.2E-02
9.50	 0.00	 10.00	 48	 3.52	 1.30E+00	 5.9E-02
10.50	 0.00	 10.00	 44	 1.87	 1.06E+00	 5.9E-02
11.00	 0.00	 10.00	 16	 2.21	 1.06E+00	 3.4E-02
11.50	 0.00	 10.00	 28	 1.36	 9.94E-01	 3.4E-02
12.50	 0.00	 10.00	 33	 2.74	 1.07E+00	 2.8E-02
13.50	 0.00	 10.00	 12	 2.50	 3.15E+00	 4.4E-01
15.80	 0.00	 10.00	 15	 1.78	 1.00E+00	 4.3E-02
